season,hometeam,awayteam,homegoals,awaygoals
2019/2020,M'gladbach,Mainz,3,1
2019/2020,Union Berlin,Augsburg,2,0
2019/2020,Wolfsburg,Hertha,1,2
2019/2020,Bayern Munich,Schalke 04,5,0
2019/2020,Werder Bremen,Hoffenheim,0,3
2019/2020,Leverkusen,Fortuna Dusseldorf,3,0
2019/2020,Hertha,Schalke 04,0,0
2019/2020,Augsburg,Werder Bremen,2,1
2019/2020,Dortmund,Union Berlin,5,0
2019/2020,Fortuna Dusseldorf,Ein Frankfurt,1,1
2019/2020,Hoffenheim,Leverkusen,2,1
2019/2020,Mainz,Bayern Munich,1,3
2019/2020,RB Leipzig,M'gladbach,2,2
2019/2020,FC Koln,Freiburg,4,0
2019/2020,Paderborn,Wolfsburg,2,4
2019/2020,Ein Frankfurt,Augsburg,5,0
2019/2020,Freiburg,Hoffenheim,1,0
2019/2020,Hertha,Mainz,1,3
2019/2020,Schalke 04,Paderborn,1,1
2019/2020,Werder Bremen,Union Berlin,0,2
2019/2020,Wolfsburg,Fortuna Dusseldorf,1,1
2019/2020,Leverkusen,Dortmund,4,3
2019/2020,Bayern Munich,RB Leipzig,0,0
2019/2020,Dortmund,Ein Frankfurt,4,0
2019/2020,Augsburg,Freiburg,1,1
2019/2020,Hoffenheim,Wolfsburg,2,3
2019/2020,Paderborn,Hertha,1,2
2019/2020,RB Leipzig,Werder Bremen,3,0
2019/2020,Union Berlin,Leverkusen,2,3
2019/2020,Fortuna Dusseldorf,M'gladbach,1,4
2019/2020,FC Koln,Bayern Munich,1,4
2019/2020,Mainz,Schalke 04,0,0
2019/2020,Bayern Munich,Paderborn,3,2
2019/2020,Freiburg,Fortuna Dusseldorf,0,2
2019/2020,Hertha,FC Koln,0,5
2019/2020,M'gladbach,Hoffenheim,1,1
2019/2020,Werder Bremen,Dortmund,0,2
2019/2020,Schalke 04,RB Leipzig,0,5
2019/2020,Leverkusen,Augsburg,2,0
2019/2020,Wolfsburg,Mainz,4,0
2019/2020,Ein Frankfurt,Union Berlin,1,2
2019/2020,Fortuna Dusseldorf,Hertha,3,3
2019/2020,Augsburg,M'gladbach,2,3
2019/2020,Dortmund,Freiburg,1,0
2019/2020,Hoffenheim,Bayern Munich,0,6
2019/2020,Mainz,Paderborn,2,0
2019/2020,FC Koln,Schalke 04,3,0
2019/2020,Union Berlin,Wolfsburg,2,2
2019/2020,RB Leipzig,Leverkusen,1,1
2019/2020,Paderborn,FC Koln,1,2
2019/2020,Freiburg,Union Berlin,3,1
2019/2020,Hertha,Werder Bremen,2,2
2019/2020,Leverkusen,Ein Frankfurt,4,0
2019/2020,Schalke 04,Hoffenheim,1,1
2019/2020,Wolfsburg,RB Leipzig,0,0
2019/2020,M'gladbach,Dortmund,1,2
2019/2020,Bayern Munich,Augsburg,2,0
2019/2020,Mainz,Fortuna Dusseldorf,1,1
2019/2020,M'gladbach,FC Koln,2,1
2019/2020,Augsburg,Wolfsburg,1,2
2019/2020,Dortmund,Schalke 04,4,0
2019/2020,Fortuna Dusseldorf,Paderborn,0,0
2019/2020,Hoffenheim,Hertha,0,3
2019/2020,RB Leipzig,Freiburg,1,1
2019/2020,Ein Frankfurt,M'gladbach,1,3
2019/2020,FC Koln,Mainz,2,2
2019/2020,Union Berlin,Bayern Munich,0,2
2019/2020,Werder Bremen,Leverkusen,1,4
2019/2020,Hertha,Union Berlin,4,0
2019/2020,Freiburg,Werder Bremen,0,1
2019/2020,M'gladbach,Leverkusen,1,3
2019/2020,Paderborn,Hoffenheim,1,1
2019/2020,Wolfsburg,Dortmund,0,2
2019/2020,Bayern Munich,Ein Frankfurt,5,2
2019/2020,Schalke 04,Augsburg,0,3
2019/2020,Mainz,RB Leipzig,0,5
2019/2020,FC Koln,Fortuna Dusseldorf,2,2
2019/2020,Dortmund,Bayern Munich,0,1
2019/2020,Ein Frankfurt,Freiburg,3,3
2019/2020,Leverkusen,Wolfsburg,1,4
2019/2020,Werder Bremen,M'gladbach,0,0
2019/2020,RB Leipzig,Hertha,2,2
2019/2020,Augsburg,Paderborn,0,0
2019/2020,Fortuna Dusseldorf,Schalke 04,2,1
2019/2020,Hoffenheim,FC Koln,3,1
2019/2020,Union Berlin,Mainz,1,1
2019/2020,Freiburg,Leverkusen,0,1
2019/2020,Hertha,Augsburg,2,0
2019/2020,Mainz,Hoffenheim,0,1
2019/2020,Schalke 04,Werder Bremen,0,1
2019/2020,Wolfsburg,Ein Frankfurt,1,2
2019/2020,Bayern Munich,Fortuna Dusseldorf,5,0
2019/2020,M'gladbach,Union Berlin,4,1
2019/2020,Paderborn,Dortmund,1,6
2019/2020,FC Koln,RB Leipzig,2,4
2019/2020,Werder Bremen,Ein Frankfurt,0,3
2019/2020,Freiburg,M'gladbach,1,0
2019/2020,Ein Frankfurt,Mainz,0,2
2019/2020,Fortuna Dusseldorf,Hoffenheim,2,2
2019/2020,Leverkusen,Bayern Munich,2,4
2019/2020,RB Leipzig,Paderborn,1,1
2019/2020,Dortmund,Hertha,1,0
2019/2020,Werder Bremen,Wolfsburg,0,1
2019/2020,Union Berlin,Schalke 04,1,1
2019/2020,Augsburg,FC Koln,1,1
2019/2020,Hoffenheim,RB Leipzig,0,2
2019/2020,FC Koln,Union Berlin,1,2
2019/2020,Fortuna Dusseldorf,Dortmund,0,1
2019/2020,Hertha,Ein Frankfurt,1,4
2019/2020,Paderborn,Werder Bremen,1,5
2019/2020,Wolfsburg,Freiburg,2,2
2019/2020,Bayern Munich,M'gladbach,2,1
2019/2020,Mainz,Augsburg,0,1
2019/2020,Schalke 04,Leverkusen,1,1
2019/2020,M'gladbach,Wolfsburg,3,0
2019/2020,Freiburg,Hertha,2,1
2019/2020,Union Berlin,Paderborn,1,0
2019/2020,Werder Bremen,Bayern Munich,0,1
2019/2020,Ein Frankfurt,Schalke 04,2,1
2019/2020,Augsburg,Hoffenheim,1,3
2019/2020,Dortmund,Mainz,0,2
2019/2020,Leverkusen,FC Koln,3,1
2019/2020,RB Leipzig,Fortuna Dusseldorf,2,2
2019/2020,Bayern Munich,Freiburg,3,1
2019/2020,FC Koln,Ein Frankfurt,1,1
2019/2020,Fortuna Dusseldorf,Augsburg,1,1
2019/2020,Hertha,Leverkusen,2,0
2019/2020,Hoffenheim,Union Berlin,4,0
2019/2020,Mainz,Werder Bremen,3,1
2019/2020,Paderborn,M'gladbach,1,3
2019/2020,RB Leipzig,Dortmund,0,2
2019/2020,Schalke 04,Wolfsburg,1,4
2019/2020,Augsburg,RB Leipzig,1,2
2019/2020,Dortmund,Hoffenheim,0,4
2019/2020,Ein Frankfurt,Paderborn,3,2
2019/2020,Freiburg,Schalke 04,4,0
2019/2020,Leverkusen,Mainz,1,0
2019/2020,M'gladbach,Hertha,2,1
2019/2020,Union Berlin,Fortuna Dusseldorf,3,0
2019/2020,Werder Bremen,FC Koln,6,1
2019/2020,Wolfsburg,Bayern Munich,0,4
